https://fbref.com/en/comps/1/stats/World-Cup-Stats
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
125,Anis Ben Slimane,MFFW,tn Tunisia,25,2.eng Norwich City,2001,3,3,240,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ade9ce1
126,Oussama Benbot,GK,dz Algeria,31,1.dz USM Alger,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dcae580c
127,Nadhir Benbouali,FW,dz Algeria,26,1.hu Győr,2000,1,0,45,0.5,1,0,1,1,0,0,0,0,2.00,0.00,2.00,2.00,2.00,Matches,cd25f2b3
128,Gilson Benchimol,FW,cv Cabo Verde,24,1.ru Akron Tolyatti,2001,2,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eae26fce
129,Ramy Bensebaini,DF,dz Algeria,31,1.de Dortmund,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,378825c7
130,Nabil Bentaleb,MF,dz Algeria,31,1.fr Lille,1994,4,3,285,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3189f61a
131,Rodrigo Bentancur,MF,uy Uruguay,28,1.eng Tottenham,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3b8674e6
132,Patrick Berg,MF,no Norway,28,1.no Bodø/Glimt,1997,6,4,445,4.9,0,2,2,0,0,0,1,0,0.00,0.40,0.40,0.00,0.40,Matches,e4114f5d
133,Sander Berge,MF,no Norway,28,1.eng Fulham,1998,5,5,480,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d0b6129f
134,Lucas Bergvall,MF,se Sweden,20,1.eng Tottenham,2006,4,1,181,2.0,0,1,1,0,0,0,1,0,0.00,0.50,0.50,0.00,0.50,Matches,a109e5c8
