https://fbref.com/en/comps/1/shooting/World-Cup-Stats
,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
905,Ivan Šunjić,MF,ba Bosnia–Herz,29,1996,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,0,0,Matches,e18098de
906,Finn Surman,DF,nz New Zealand,22,2003,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,0,0,Matches,016e419b
907,Josip Šutalo,DF,hr Croatia,26,2000,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,Matches,33a6a650
908,Junnosuke Suzuki,DF,jp Japan,22,2003,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,77428b1e
909,Yuito Suzuki,FWMF,jp Japan,24,2001,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,c25a7a2a
910,Zion Suzuki,GK,jp Japan,23,2002,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,51e1f4f5
911,Mattias Svanberg,MF,se Sweden,27,1999,0.2,1,3,2,66.7,16.88,11.25,0.33,0.50,0,0,Matches,92d83c27
912,Daniel Svensson,DF,se Sweden,24,2002,1.1,0,1,0,0.0,0.92,0.00,0.00,,0,0,Matches,124c9382
913,Alexander Sørloth,FW,no Norway,30,1995,3.7,0,5,0,0.0,1.34,0.00,0.00,,0,0,Matches,e92cd3f7
914,Musa Al-Taamari,FW,jo Jordan,29,1997,2.4,1,8,3,37.5,3.35,1.26,0.13,0.33,0,0,Matches,f15f8b2b
915,Haris Tabaković,FW,ba Bosnia–Herz,31,1994,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,723b19c7
916,Lee Tae-seok,MF,kr Korea Republic,23,2002,1.3,0,0,0,,0.00,0.00,,,0,0,Matches,32257cce
917,Nicolás Tagliafico,DF,ar Argentina,33,1992,5.3,0,0,0,,0.00,0.00,,,0,0,Matches,f0661424
918,Jonathan Tah,DF,de Germany,30,1996,4.1,0,1,1,100.0,0.24,0.24,0.00,0.00,0,0,Matches,bd142efb
919,Benjamin Tahirovic,MF,ba Bosnia–Herz,23,2003,2.6,0,1,0,0.0,0.38,0.00,0.00,,0,0,Matches,eb3022c3
920,Zaid Tahseen,DF,iq Iraq,25,2001,1.7,0,2,0,0.0,1.21,0.00,0.00,,0,0,Matches,f3380f7e
921,Chemsdine Talbi,MF,ma Morocco,21,2005,2.0,0,2,0,0.0,1.01,0.00,0.00,,0,0,Matches,47ce793b
922,Montassar Talbi,DF,tn Tunisia,28,1998,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,a4a44eb0
923,Hassan Al Tambakti,DF,sa Saudi Arabia,27,1999,2.4,0,0,0,,0.00,0.00,,,0,0,Matches,6d78c320
924,Ao Tanaka,MF,jp Japan,27,1998,2.1,0,2,0,0.0,0.93,0.00,0.00,,0,0,Matches,1d36d6b6
925,Shogo Taniguchi,DF,jp Japan,34,1991,2.6,0,0,0,,0.00,0.00,,,0,0,Matches,828a9c47
926,Mehdi Taremi,FW,ir IR Iran,33,1992,2.9,0,5,2,40.0,1.74,0.69,0.00,0.00,0,1,Matches,4c2a5d34
927,Aurélien Tchouaméni,MF,fr France,26,2000,4.0,0,3,0,0.0,0.75,0.00,0.00,,0,0,Matches,4f255115
928,Arthur Theate,DF,be Belgium,26,2000,2.5,0,5,1,20.0,1.97,0.39,0.00,0.00,0,0,Matches,df8d6029
929,Igor Thiago,FW,br Brazil,24,2001,0.7,0,2,1,50.0,2.95,1.48,0.00,0.00,0,0,Matches,dc45ac24
930,Malick Thiaw,DFMF,de Germany,24,2001,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,ff5ea0bf
931,Ryan Thomas,MF,nz New Zealand,31,1994,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,95efdac2
932,Brandon Thomas-Asante,FWMF,gh Ghana,27,1998,0.6,0,1,0,0.0,1.70,0.00,0.00,,0,0,Matches,fb152f96
933,Morten Thorsby,MF,no Norway,30,1996,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,d1b49282
934,Kristian Thorstvedt,MF,no Norway,27,1999,0.7,0,3,1,33.3,4.29,1.43,0.00,0.00,0,0,Matches,76ff8d0d
935,Marcus Thuram,FWMF,fr France,28,1997,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,6f8cd6d0
936,Youri Tielemans,MF,be Belgium,29,1997,5.3,2,11,3,27.3,2.09,0.57,0.18,0.67,1,1,Matches,56f7a928
937,Kieran Tierney,MF,sct Scotland,29,1997,1.2,0,2,0,0.0,1.73,0.00,0.00,,0,0,Matches,fce2302c
938,Guus Til,FWMF,nl Netherlands,28,1997,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,6e44569a
939,Malik Tillman,MF,us USA,24,2002,4.0,2,8,4,50.0,2.02,1.01,0.25,0.50,0,0,Matches,a5420709
940,Quinten Timber,MF,nl Netherlands,24,2001,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,803e7aca
941,Takehiro Tomiyasu,DF,jp Japan,27,1998,2.0,0,1,0,0.0,0.49,0.00,0.00,,0,0,Matches,b3af9be1
942,Ivan Toney,FW,eng England,30,1996,0.9,0,2,1,50.0,2.28,1.14,0.00,0.00,0,0,Matches,e09f279b
943,Mehdi Torabi,MF,ir IR Iran,31,1994,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,74567feb
944,Félix Torres Caicedo,DF,ec Ecuador,29,1997,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,c0a8860f
945,Ferran Torres,FW,es Spain,26,2000,3.2,1,14,4,28.6,4.37,1.25,0.07,0.25,0,0,Matches,9e1035f8
946,Sebastian Tounekti,FW,tn Tunisia,23,2002,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,584fee1f
947,Bazoumana Touré,MF,ci Côte d'Ivoire,20,2006,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,93945a50
948,Mo Touré,FW,au Australia,22,2004,1.8,0,4,1,25.0,2.18,0.55,0.00,0.00,0,0,Matches,8ac64b4e
949,Kai Trewin,DFMF,au Australia,25,2001,0.8,0,1,0,0.0,1.20,0.00,0.00,,0,0,Matches,1ab3d134
950,Trézéguet,MF,eg Egypt,31,1994,1.8,1,8,3,37.5,4.39,1.65,0.13,0.33,0,0,Matches,3ae14ed1
951,Francisco Trincão,FWMF,pt Portugal,26,1999,0.3,0,1,0,0.0,3.21,0.00,0.00,,0,0,Matches,77e39b04
952,Leandro Trossard,MFFW,be Belgium,31,1994,5.6,2,17,3,17.6,3.02,0.53,0.12,0.67,0,0,Matches,38ceb24a
953,Auston Trusty,DF,us USA,27,1998,1.1,1,3,2,66.7,2.67,1.78,0.33,0.50,0,0,Matches,cddf767b
954,Axel Tuanzebe,DF,cd Congo DR,28,1997,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,2baec6ce
955,Matt Turner,GK,us USA,31,1994,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,4a51ba65
956,Ayase Ueda,FW,jp Japan,27,1998,3.6,2,9,4,44.4,2.52,1.12,0.22,0.50,0,0,Matches,c0295327
957,Manuel Ugarte,MF,uy Uruguay,25,2001,2.0,0,3,1,33.3,1.47,0.49,0.00,0.00,0,0,Matches,c9817014
958,Deniz Undav,FW,de Germany,29,1996,1.7,3,6,4,66.7,3.58,2.38,0.50,0.75,0,0,Matches,dd549382
959,Dayot Upamecano,DF,fr France,27,1998,7.3,0,4,2,50.0,0.55,0.27,0.00,0.00,0,0,Matches,d248cd8f
960,Jakhongir Urozov,DF,uz Uzbekistan,22,2004,1.1,0,0,0,,0.00,0.00,,,0,0,Matches,71210bed
961,Oston Urunov,MF,uz Uzbekistan,25,2000,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,56521adf
962,Can Uzun,MF,tr Türkiye,20,2005,0.4,0,4,1,25.0,9.47,2.37,0.00,0.00,0,0,Matches,1d0b134a
963,Enner Valencia,FW,ec Ecuador,36,1989,3.2,0,10,6,60.0,3.14,1.88,0.00,0.00,0,0,Matches,fb485406
964,Yan Valery,DF,tn Tunisia,27,1999,2.8,0,0,0,,0.00,0.00,,,0,0,Matches,531a4aa8
965,Federico Valverde,MF,uy Uruguay,27,1998,2.6,0,10,2,20.0,3.81,0.76,0.00,0.00,0,0,Matches,0959c2a2
966,Virgil van Dijk,DF,nl Netherlands,34,1991,4.3,1,2,2,100.0,0.46,0.46,0.50,0.50,0,0,Matches,e06683ca
967,Hans Vanaken,MF,be Belgium,33,1992,3.5,1,5,1,20.0,1.41,0.28,0.20,1.00,0,0,Matches,392a7aea
968,Guillermo Varela,DF,uy Uruguay,33,1993,3.0,0,2,0,0.0,0.67,0.00,0.00,,0,0,Matches,5c961282
969,Hélio Varela,FW,cv Cabo Verde,24,2002,1.2,1,3,1,33.3,2.60,0.87,0.33,1.00,0,0,Matches,91c99fec
970,Camilo Vargas,GK,co Colombia,37,1989,5.3,0,0,0,,0.00,0.00,,,0,0,Matches,004e3d0f
971,Obed Vargas,MF,mx Mexico,20,2005,0.7,0,1,1,100.0,1.36,1.36,0.00,0.00,0,0,Matches,9cc1fde4
972,Ruben Vargas,MF,ch Switzerland,27,1998,3.2,2,6,4,66.7,1.90,1.27,0.33,0.50,0,0,Matches,6ecbddf6
973,Nikola Vasilj,GK,ba Bosnia–Herz,30,1995,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,f038585f
974,Johan Vásquez,DF,mx Mexico,27,1998,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,Matches,5eaed77a
975,Alexis Vega,FWMF,mx Mexico,28,1997,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,f40f4c38
976,Renato Veiga,DF,pt Portugal,22,2003,5.0,0,2,0,0.0,0.40,0.00,0.00,,0,0,Matches,fc8fcbd1
977,Gustavo Velásquez,DF,py Paraguay,35,1991,2.7,0,0,0,,0.00,0.00,,,0,0,Matches,b99b4cf5
978,Nishan Velupillay,MF,au Australia,25,2001,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,40cb6b33
979,Micky van de Ven,DFMF,nl Netherlands,25,2001,2.9,0,3,1,33.3,1.02,0.34,0.00,0.00,0,0,Matches,8fe2a392
980,Bart Verbruggen,GK,nl Netherlands,23,2002,4.3,0,0,0,,0.00,0.00,,,0,0,Matches,cf134113
981,Matías Viña,DF,uy Uruguay,28,1997,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,08eb3b58
982,Federico Viñas,FW,uy Uruguay,27,1998,2.1,0,6,3,50.0,2.81,1.41,0.00,0.00,0,0,Matches,d30c7094
983,Denis Višinský,FW,cz Czechia,23,2003,0.6,0,3,0,0.0,4.91,0.00,0.00,,0,0,Matches,d5aac0e9
984,Pedro Vite,MF,ec Ecuador,24,2002,4.0,0,4,1,25.0,1.00,0.25,0.00,0.00,0,0,Matches,9c146b36
985,Vitinha,MF,pt Portugal,26,2000,4.2,0,4,0,0.0,0.96,0.00,0.00,,0,0,Matches,3b029691
986,Nikola Vlašić,MF,hr Croatia,28,1997,2.1,1,3,1,33.3,1.43,0.48,0.33,1.00,0,0,Matches,aa8e289e
987,Cristian Volpato,MF,au Australia,22,2003,1.8,0,4,1,25.0,2.25,0.56,0.00,0.00,0,0,Matches,72f87f25
988,Vozinha,GK,cv Cabo Verde,40,1986,4.3,0,0,0,,0.00,0.00,,,0,0,Matches,dc04ac24
989,Francis de Vries,DF,nz New Zealand,31,1994,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,90a63dda
990,Luka Vušković,DF,hr Croatia,19,2007,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,fd6bdbce
991,Elye Wahi,FW,ci Côte d'Ivoire,23,2003,1.2,0,3,2,66.7,2.45,1.64,0.00,0.00,0,0,Matches,0d7b6576
992,Aaron Wan-Bissaka,DF,cd Congo DR,28,1997,3.9,0,0,0,,0.00,0.00,,,0,0,Matches,9e525177
993,Paul Wanner,MF,at Austria,20,2005,2.6,0,1,0,0.0,0.38,0.00,0.00,,0,0,Matches,cb64672e
994,Tsuyoshi Watanabe,DF,jp Japan,29,1997,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,d5f5955a
995,Cecilio Waterman,FW,pa Panama,35,1991,0.8,0,2,1,50.0,2.37,1.18,0.00,0.00,0,0,Matches,ddd5637f
996,Ollie Watkins,FWMF,eng England,30,1995,0.6,0,1,0,0.0,1.73,0.00,0.00,,0,0,Matches,aed3a70f
997,Timothy Weah,MF,us USA,26,2000,0.8,0,2,0,0.0,2.37,0.00,0.00,,0,0,Matches,8eec784d
998,Wout Weghorst,FW,nl Netherlands,33,1992,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,c4e87b8b
999,Jacob Widell Zetterström,GK,se Sweden,27,1998,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,ac5120d8
1000,Silvan Widmer,DF,ch Switzerland,33,1993,1.9,0,0,0,,0.00,0.00,,,0,0,Matches,f68b64fc
1001,Iñaki Williams,MFFW,gh Ghana,31,1994,1.4,0,3,0,0.0,2.14,0.00,0.00,,0,0,Matches,6a99e0b1
1002,Nico Williams,MF,es Spain,23,2002,1.3,0,4,2,50.0,3.19,1.59,0.00,0.00,0,0,Matches,afdc14d7
1003,Ronwen Williams,GK,za South Africa,34,1992,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,a66cc153
1004,Patrick Wimmer,FWMF,at Austria,25,2001,0.2,0,1,0,0.0,4.29,0.00,0.00,,0,0,Matches,cb11b429
1005,Florian Wirtz,MF,de Germany,23,2003,4.0,0,10,1,10.0,2.49,0.25,0.00,0.00,0,0,Matches,e7fcf289
1006,Yoane Wissa,FW,cd Congo DR,29,1996,4.0,3,11,3,27.3,2.75,0.75,0.27,1.00,1,1,Matches,2500cef9
1007,Axel Witsel,DFMF,be Belgium,37,1989,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,5dfc6ad5
1008,Nick Woltemade,FWMF,de Germany,24,2002,0.4,0,2,0,0.0,5.45,0.00,0.00,,0,0,Matches,7ca196eb
1009,Chris Wood,FW,nz New Zealand,34,1991,3.0,0,5,2,40.0,1.67,0.67,0.00,0.00,0,0,Matches,4e9a0555
1010,Haji Wright,FWMF,us USA,28,1998,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,91cd37b7
1011,Granit Xhaka,MF,ch Switzerland,33,1992,6.7,1,9,2,22.2,1.35,0.30,0.11,0.50,1,1,Matches,e61b8aee
1012,Kevin Yakob,MF,iq Iraq,25,2000,0.3,0,1,0,0.0,3.75,0.00,0.00,,0,0,Matches,18d3b8df
1013,Lamine Yamal,MFFW,es Spain,18,2007,6.8,1,27,12,44.4,3.96,1.76,0.04,0.08,0,0,Matches,82ec26c1
1014,Yannick,MF,cv Cabo Verde,30,1995,0.4,0,1,0,0.0,2.81,0.00,0.00,,0,0,Matches,6246aa55
1015,Gessime Yassine,MF,ma Morocco,20,2005,0.9,1,2,1,50.0,2.25,1.13,0.50,1.00,0,0,Matches,f5ccae19
1016,John Yeboah,MF,ec Ecuador,25,2000,3.5,0,8,3,37.5,2.32,0.87,0.00,0.00,0,0,Matches,8dfdc6c3
1017,Tete Yengi,FW,au Australia,25,2000,0.3,0,1,1,100.0,3.75,3.75,0.00,0.00,0,0,Matches,1c215c70
1018,Kenan Yıldız,MF,tr Türkiye,21,2005,2.4,0,14,1,7.1,5.78,0.41,0.00,0.00,0,0,Matches,d8cda243
1019,Caleb Yirenkyi,MF,gh Ghana,20,2006,2.9,1,2,1,50.0,0.68,0.34,0.50,1.00,0,0,Matches,d40ce7b0
1020,Seol Young-woo,MF,kr Korea Republic,27,1998,2.8,0,2,0,0.0,0.72,0.00,0.00,,0,0,Matches,8e577e1d
1021,Manaf Younis,DF,iq Iraq,29,1996,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,b798826e
1022,Aria Yousefi,MF,ir IR Iran,24,2002,0.5,0,1,1,100.0,2.00,2.00,0.00,0.00,0,0,Matches,fd069512
1023,Ali Yousif,FW,iq Iraq,30,1996,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,943fd50a
1024,İsmail Yüksek,MF,tr Türkiye,27,1999,1.5,0,5,0,0.0,3.24,0.00,0.00,,0,0,Matches,6c5af908
1025,Utkir Yusupov,GK,uz Uzbekistan,35,1991,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,31caffaf
1026,Warren Zaïre-Emery,MF,fr France,20,2006,1.2,0,1,0,0.0,0.82,0.00,0.00,,0,0,Matches,6b9960cf
1027,Denis Zakaria,DF,ch Switzerland,29,1996,4.0,0,5,2,40.0,1.26,0.50,0.00,0.00,0,0,Matches,384d58d9
1028,Jaroslav Zelený,MF,cz Czechia,33,1992,1.4,0,1,0,0.0,0.71,0.00,0.00,,0,0,Matches,bc647827
1029,Alejandro Zendejas,FWMF,us USA,28,1998,0.2,0,1,0,0.0,6.43,0.00,0.00,,0,0,Matches,d717b80e
1030,Besfort Zeneli,MF,se Sweden,23,2002,0.7,0,1,1,100.0,1.50,1.50,0.00,0.00,0,0,Matches,6be253bf
1031,Ramiz Zerrouki,MF,dz Algeria,28,1998,1.2,0,0,0,,0.00,0.00,,,0,0,Matches,c762b1a6
1032,Luca Zidane,GK,dz Algeria,28,1998,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,c818c4d9
1033,Mostafa Ziko,FWMF,eg Egypt,29,1997,4.1,2,8,3,37.5,1.95,0.73,0.25,0.67,0,0,Matches,68ff8437
1034,David Zima,DF,cz Czechia,25,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,acf7e795
1035,Zizo,MF,eg Egypt,30,1996,0.6,0,3,1,33.3,4.82,1.61,0.00,0.00,0,0,Matches,c6415ba9
1036,Martín Zubimendi,MF,es Spain,27,1999,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,3ee0dd59
1037,Themba Zwane,FWMF,za South Africa,36,1989,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,c6f21aa8
1038,Martin Ødegaard,MF,no Norway,27,1998,5.2,0,9,3,33.3,1.72,0.57,0.00,0.00,0,0,Matches,79300479
1039,Leo Østigård,DF,no Norway,26,1999,1.6,1,3,1,33.3,1.85,0.62,0.33,1.00,0,0,Matches,b35a7399
